Cluster,Component Label,Summarized by Tools,"Most Common Verbs, Nouns Adjectives"
PROC0000,Or Logical Comparison,"Compare current address. it performs actions like compare, and return; focused on entities such as address, band, check, client, connection, contact, device, evaluation, field, information, input, instance, network, number, object, and page; characterized as current, equal, false, great, true.",address band check client compare connection contact current device equal evaluation false field great information input instance network number object page password return server size state true type user version
PROC0001,Variable Declaration and Object Creation through function invocation,"Compare current comparisonclass. it performs actions like compare, create, find, get, give, and return; focused on entities such as comparisonclass, expression, file, folder, group, image, instance, list, message, object, operation, path, point, property, and request; characterized as current, key, new, true.",compare comparisonclass create current expression file find folder get give group image instance key list message new object operation path point property request return server source string true type value
PROC0002,Lambda Query Select and Order List including mapping and convertion,"Order key array. it performs actions like order, return, and sort; focused on entities such as array, collection, column, date, element, field, filter, group, id, index, item, list, method, name, and object; characterized as key, new, orderby, select.",array collection column date element field filter group id index item key list method name new object order orderby query queryset record return role select sort table type user value
PROC0003,Handle and Monitor Message Request,"Add current check. it performs actions like add, find, give, handle, send, and throw; focused on entities such as check, create, exception, file, line, list, message, method, monitor, object, property, request, return, and set; characterized as current, equal, invalid, key, new, read, true.",add check create current equal exception file find give handle invalid key line list message method monitor new object property read request return send set string throw true type value
PROC0004,Assign a proper Array or List of Object to a variable whereas the data list have been filter or proceed properly through a function on simple filter,"Create current array. it performs actions like create, find, get, remove, return, set, and value; focused on entities such as array, byte, character, code, column, description, file, line, list, number, object, path, property, and replace; characterized as current, key, new, null, true.",array byte character code column create current description file find get key line list new null number object path property remove replace return set string text true type user value
PROC0005,Data type and content conversion,"Add content convert. it performs actions like add, create, return, set, store, and type; focused on entities such as convert, file, instance, item, list, message, method, object, position, property, queue, read, response, and result; characterized as content, current, key, new, true.",add asynchronously content convert create current file instance item key list message method new object position property queue read response result return service set store stream string true type value
PROC0006,"Assign a variable with increament and math addition operation, or assign with a default value including 0, true, false or null","Add current array. it performs actions like add, create, object, result, and return; focused on entities such as array, bit, buffer, byte, counter, element, field, header, increment, index, item, list, and number; characterized as current, default, false, new, null, reset, set, true.",add array bit buffer byte counter create current default element false field header increment index item list new null number object property reset result return set string true type value
PROC0007,Data serialization and streaming,"Add current arm. it performs actions like add, get, give, return, stream, and xml; focused on entities such as arm, cdnarmoperation, constructor, convert, create, element, field, file, instance, list, networkarmoperation, object, operation, parameter, and position; characterized as current, key, new.",add arm cdnarmoperation constructor convert create current element field file get give instance key list networkarmoperation new object operation parameter position property request response return stream string type value xml
PROC0008,Get and/or apply application resources to a variable object then assert it,"Apply current add. it performs actions like apply, create, result, return, and set; focused on entities such as add, append, array, assert, buffer, byte, content, end, instance, list, method, number, object, page, point, and read; characterized as current, equal, new, true.",add append apply array assert buffer byte content create current end equal instance list method new number object page point read resource result return set source string true type value
PROC0009,Assign string or null value to a variable,"Define add class. it performs actions like define, get, reset, return, set, and text; focused on entities such as class, construct, create, default, dialog, display, edit, field, flag, form, instance, message, object, and property; characterized as add, false, main, new, null, select, true.",add class construct constructor create default define dialog display edit false field flag form get instance main message new null object property reset return select set text true user value
